Timestamp,LeftEyePos_X,LeftEyePos_Y,LeftEyePos_Z,LeftGazeDir_X,LeftGazeDir_Y,LeftGazeDir_Z,RightEyePos_X,RightEyePos_Y,RightEyePos_Z,RightGazeDir_X,RightGazeDir_Y,RightGazeDir_Z,IntersectionPoint_X,IntersectionPoint_Y,IntersectionPoint_Z,DepthVectorStart_X,DepthVectorStart_Y,DepthVectorStart_Z,DepthVectorDir_X,DepthVectorDir_Y,DepthVectorDir_Z,DepthValue,RayHitPos_X,RayHitPos_Y,RayHitPos_Z,LeftBlinkWeight,RightBlinkWeight
4.403428,-0.08364111,-0.3480517,-0.2411714,-0.3970525,-0.04489863,0.916697,-0.01906127,-0.3461758,-0.2340353,-0.443576,-0.04567746,0.895072,-0.5561259,-0.4014803,0.8496819,-0.4325829,-0.3581879,-0.2797297,-0.1086596,-0.03807685,0.9933495,1.136973,-2.036636,-0.9202824,14.38425,0.00,0.00
4.510118,-0.08441274,-0.348279,-0.2408851,-0.3612785,-0.04241971,0.9314926,-0.02003011,-0.3464746,-0.2321317,-0.4095071,-0.04332154,0.9112778,-0.5150557,-0.3988431,0.8694512,-0.3601991,-0.3560083,-0.2783805,-0.1336097,-0.03695774,0.9903446,1.159022,-2.338372,-0.903187,14.38425,0.00,0.00
4.60656,-0.08327501,-0.3475934,-0.2397483,-0.3390051,-0.04098898,0.9398912,-0.01892972,-0.3461114,-0.230666,-0.3880607,-0.04170645,0.9206897,-0.4876763,-0.3964894,0.8814542,-0.3255889,-0.3531747,-0.2739508,-0.1388302,-0.03709974,0.9896211,1.167523,-2.381936,-0.9026916,14.38425,0.00,0.00
4.704674,-0.08139549,-0.3476173,-0.2387566,-0.3246596,-0.04189503,0.9449026,-0.01697904,-0.3465127,-0.2301369,-0.3741019,-0.04230676,0.9264221,-0.4687805,-0.3976065,0.888702,-0.314527,-0.3516149,-0.2699524,-0.1318652,-0.03931637,0.9904877,1.169782,-2.265468,-0.9332964,14.38425,0.00,0.00
4.802119,-0.07987768,-0.3478413,-0.2384002,-0.322743,-0.03631495,0.9457897,-0.01541401,-0.3472412,-0.2300892,-0.3722042,-0.03637134,0.927438,-0.4649347,-0.3911678,0.8900006,-0.3159142,-0.3500386,-0.2688314,-0.1274662,-0.03518028,0.9912188,1.169098,-2.200236,-0.8701031,14.38425,0.00,0.00
4.900241,-0.07893866,-0.3473266,-0.2386874,-0.3210211,-0.03184372,0.9465365,-0.01443061,-0.3470409,-0.2307106,-0.3704832,-0.03168889,0.9282985,-0.4619184,-0.3853163,0.8905346,-0.3187805,-0.348389,-0.2683451,-0.1225213,-0.03160853,0.9919624,1.16827,-2.128585,-0.8152869,14.38425,0.00,0.00
5.011956,-0.07840186,-0.3470061,-0.2388213,-0.161712,-0.01304225,0.9867519,-0.01381832,-0.346817,-0.2314775,-0.2147354,-0.01314571,0.9765838,-0.2721245,-0.36263,0.9432581,-0.1369988,-0.3471776,-0.2454843,-0.1129343,-0.01291471,0.9935185,1.196497,-1.79998,-0.5373471,14.38425,0.00,0.00
5.109882,-0.07806243,-0.3466436,-0.238034,-0.1567493,-0.01213196,0.9875639,-0.01339067,-0.3463478,-0.2315167,-0.2097898,-0.01232282,0.9776688,-0.2658009,-0.3611741,0.9447719,-0.1459796,-0.3469543,-0.2448783,-0.1002057,-0.01189191,0.9948957,1.195754,-1.619425,-0.5218129,14.38425,0.00,0.00
5.206975,-0.08601495,-0.3465989,-0.1868582,-0.1558937,-0.01852277,0.9876002,-0.02127218,-0.3463646,-0.181086,-0.2088927,-0.01862284,0.9777612,-0.2726795,-0.3687777,0.9956751,-0.1666887,-0.3468907,-0.1940506,-0.08872211,-0.01832098,0.9958879,1.194638,-1.46545,-0.6150804,14.38425,0.00,0.00
5.305105,-0.09265944,-0.3468341,-0.1393823,-0.1533297,-0.02266247,0.9879152,-0.027885,-0.3465207,-0.1339811,-0.2063374,-0.02280319,0.9782152,-0.2762433,-0.373968,1.043455,-0.1771541,-0.3472428,-0.1464279,-0.08296841,-0.02237726,0.9963009,1.1943,-1.38722,-0.6736047,14.38425,0.00,0.00
5.402339,-0.09356058,-0.3469427,-0.1292592,-0.1597302,-0.02598259,0.9868187,-0.02875704,-0.3466648,-0.1242169,-0.2126084,-0.02605959,0.97679,-0.284748,-0.378042,1.051893,-0.1923776,-0.3473664,-0.136948,-0.07743872,-0.02571689,0.9966654,1.192819,-0.1925736,-0.3474315,-0.1344259,0.00,0.00
5.513291,-0.09346148,-0.3468682,-0.1233281,-0.1655569,-0.02221746,0.9859499,-0.02862656,-0.3467398,-0.1187004,-0.2183013,-0.022178,0.9756294,-0.2915498,-0.3734512,1.056355,-0.2068222,-0.3470925,-0.1314195,-0.07113482,-0.02212995,0.9972212,1.191084,-0.2078736,-0.3474196,-0.1166807,0.00,0.00
5.611249,-0.09975366,-0.3470268,-0.07591659,-0.1644338,-0.02248779,0.9861317,-0.034897,-0.3470756,-0.07160252,-0.2171666,-0.02229512,0.97588,-0.2964709,-0.3739297,1.103828,-0.2174569,-0.3469382,-0.08374584,-0.06637019,-0.02267232,0.9975374,1.190505,-0.2177353,-0.3470333,-0.07956129,0.00,0.00
5.707794,-0.1471514,-0.3469733,0.2520415,-0.1624903,-0.02197032,0.9864655,-0.08227663,-0.3472752,0.2560635,-0.2152265,-0.02156824,0.9763259,-0.3415305,-0.3732554,1.432106,-0.2677832,-0.3464119,0.2445629,-0.06196553,-0.02255502,0.9978234,1.190134,-1.145871,-0.6660261,14.38425,0.00,0.00
5.800257,-0.1653866,-0.3474214,0.3909951,-0.1616889,-0.02947482,0.9864015,-0.1004865,-0.3477241,0.3945855,-0.2143935,-0.02901129,0.9763165,-0.3587877,-0.382677,1.570855,-0.2929562,-0.3468265,0.3839375,-0.05535401,-0.03014469,0.9980116,1.189283,-0.2940467,-0.3474204,0.4035996,0.00,0.00
5.902766,-0.1651626,-0.3472886,0.4007636,-0.1531601,-0.02161501,0.987965,-0.1002132,-0.3476514,0.4033011,-0.2058947,-0.0211496,0.9783456,-0.3483206,-0.3731371,1.58223,-0.3018057,-0.3465254,0.3954252,-0.03915355,-0.02240015,0.9989821,1.188014,-0.3028821,-0.3471413,0.4228898,0.00,0.00
6.002586,-0.1630279,-0.3468914,0.4105799,0.08371027,-0.03870473,0.9957381,-0.09802893,-0.3472027,0.4107728,0.02974831,-0.03857076,0.9988129,-0.0623767,-0.3934289,1.607826,-0.05860326,-0.3473915,0.4108898,-0.003150243,-0.03843402,0.9992562,1.197827,-0.1026587,-0.8848417,14.38425,0.00,0.00
6.11217,-0.1572392,-0.3469594,0.4140701,0.1754669,-0.04134613,0.9836167,-0.09241039,-0.3471757,0.409361,0.122083,-0.0413384,0.9916586,0.05384193,-0.3966977,1.597335,-0.03260164,-0.3473753,0.4050166,0.07224914,-0.04122349,0.9965343,1.196465,0.980895,-0.9256501,14.38425,0.00,0.00
6.210447,-0.1470708,-0.3471075,0.4910161,0.4159813,-0.03951065,0.9085144,-0.08282488,-0.3472273,0.4811447,0.3677239,-0.03994442,0.9290767,0.355623,-0.3948542,1.588912,0.1793143,-0.3477159,0.4408671,0.1516686,-0.04055056,0.9875993,1.16246,0.2123046,-0.3565362,0.6556854,0.00,0.00
6.306382,-0.1394035,-0.3469689,0.544951,0.4277134,-0.03963802,0.9030449,-0.07558495,-0.3475001,0.5326257,0.379433,-0.03967539,0.9243681,0.3771372,-0.394839,1.63554,0.1558757,-0.3494264,0.4879237,0.1891717,-0.03882629,0.9811761,1.169633,0.1817185,-0.3547305,0.6219621,0.00,0.00
6.404841,-0.1366467,-0.3466423,0.5480885,0.3936203,-0.03999645,0.9184026,-0.07308289,-0.3471679,0.5345105,0.3440084,-0.03992037,0.9381176,0.3380097,-0.394873,1.655567,0.09141573,-0.3485283,0.4993716,0.2084289,-0.03917202,0.9772527,1.183108,0.09880914,-0.3499178,0.5340368,0.00,0.00
6.501682,-0.1345766,-0.3461078,0.5490977,0.5771537,-0.04103061,0.815604,-0.07127692,-0.3466721,0.5343387,0.5350738,-0.04134957,0.8437928,0.5648785,-0.395833,1.537533,0.3106196,-0.3500769,0.4452955,0.2265367,-0.04076731,0.9731491,1.122374,5.24388,-1.237863,21.63746,0.00,0.00
6.612844,-0.132267,-0.3458816,0.5496775,0.5925693,-0.0453591,0.8042414,-0.06938949,-0.3463296,0.5332088,0.550905,-0.04584064,0.833308,0.5857161,-0.4008408,1.524132,0.3011291,-0.3489695,0.436164,0.2527935,-0.04607632,0.9664224,1.125769,5.24388,-1.249875,19.33218,0.00,0.00
6.710038,-0.1290155,-0.3457325,0.5501804,0.635776,-0.003044178,0.7718676,-0.0669222,-0.3459594,0.5309613,0.59591,-0.002912545,0.8030459,0.6415113,-0.3494219,1.485643,0.309922,-0.3473361,0.4143201,0.2956745,-0.001859836,0.955287,1.121467,5.24388,-0.3783693,16.35533,0.00,0.00
6.807223,-0.1250817,-0.3454562,0.5505059,0.6787976,0.1557161,0.7176255,-0.06408476,-0.3453947,0.5280477,0.641061,0.1587811,0.7508857,0.6978051,-0.1566861,1.420462,0.3176696,-0.3450101,0.3874913,0.3404125,0.1686447,0.9250289,1.116691,2.670994,0.8208632,6.782365,0.00,0.00
6.905078,-0.122524,-0.3449792,0.5506018,0.6766469,0.1668,0.7171657,-0.06237025,-0.3448758,0.5259742,0.6383138,0.1697283,0.7508315,0.6969901,-0.1429611,1.41919,0.2750804,-0.344296,0.387818,0.3725886,0.1777989,0.9108047,1.132374,4.658689,1.747561,11.1037,0.00,0.00
7.003037,-0.1208804,-0.3446664,0.5500736,0.7618699,0.04059939,0.6464565,-0.06116805,-0.3444855,0.5243948,0.7291864,0.04138688,0.6830624,0.8041351,-0.295373,1.334963,0.3750326,-0.343164,0.3368102,0.3945662,0.04394449,0.9178162,1.08753,5.087034,0.1816337,11.2976,0.00,0.00
7.100578,-0.1205515,-0.3438922,0.5495456,0.7531823,0.02723617,0.6572477,-0.0609075,-0.34397,0.5237078,0.719745,0.02790942,0.6936773,0.7935135,-0.3108383,1.347184,0.3581054,-0.3445169,0.3421909,0.3973514,0.03073495,0.9171516,1.095776,5.071755,0.0200839,11.22207,0.00,0.00
7.211088,-0.1201151,-0.343762,0.5490955,0.6157129,-0.09686448,0.7819942,-0.0605585,-0.3438351,0.5230569,0.5733578,-0.09799297,0.8134238,0.6235223,-0.4607518,1.493563,0.1576437,-0.3441031,0.4276573,0.398492,-0.09977614,0.9117284,1.169104,5.243881,-1.617616,12.0647,0.00,0.00
7.308482,-0.1193271,-0.3438157,0.5488144,0.6209174,-0.1001239,0.7774553,-0.06002709,-0.3440222,0.5221974,0.5787562,-0.1011665,0.8092013,0.6305499,-0.4647347,1.487742,0.154383,-0.3447685,0.4259588,0.4070382,-0.1025499,0.9076362,1.169834,5.243881,-1.627024,11.77481,0.00,0.00
7.405486,-0.1182907,-0.3436152,0.5491092,0.7549274,-0.181487,0.6301962,-0.05937369,-0.3440155,0.5216569,0.7217036,-0.1850904,0.6669974,0.7976083,-0.5638,1.313679,0.342739,-0.3467476,0.3342929,0.4129691,-0.1970587,0.8891707,1.101461,3.846424,-2.018619,7.878141,0.00,0.00
